"","Country","CountryCode","mean_feeling_of_happiness","mean_life_satisfaction","mean_financial_satisfaction","Year","gdp","Number_below_$3.65_a_day","Number_below_$6.85_a_day","Number_below_$10_a_day","total_population","Region","Latitude","Longitude","Length","Area"
"538","Nicaragua","NIC",1.66666666666667,7.94333333333333,6.71583333333333,"1993",388.021851813989,"2058662","3317849","3855010",4526689,"Latin America and Caribbean",12.865416,-85.207229,18.0306744404883,10.6687971007593
"539","Nicaragua","NIC",1.66666666666667,7.94333333333333,6.71583333333333,"2001",1025.10850978461,"2305346","3948076","4584687",5192764,"Latin America and Caribbean",12.865416,-85.207229,18.0306744404883,10.6687971007593
"540","Niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sub-Saharan Africa",17.607789,8.081666,50.803637221269,100.637811381571
"541","Nigeria","NGA",1.42235410484669,6.87438180019782,6.28140454995054,"2015",2679.55476480921,"114668649","162189604","175034396",183995785,"Sub-Saharan Africa",9.081999,8.675277,48.108082151029,74.8876415620891
"542","Nigeria","NGA",1.42235410484669,6.87438180019782,6.28140454995054,"2012",2728.02268335423,"108894373","151411937","162364596",170075932,"Sub-Saharan Africa",9.081999,8.675277,48.108082151029,74.8876415620891
"543","Nigeria","NGA",1.42235410484669,6.87438180019782,6.28140454995054,"2003",786.802409334717,"99690492","123932509","129329778",133119801,"Sub-Saharan Africa",9.081999,8.675277,48.108082151029,74.8876415620891
"544","Nigeria","NGA",1.42235410484669,6.87438180019782,6.28140454995054,"1992",477.080756484416,"73896184","92508922","97532530",100182045,"Sub-Saharan Africa",9.081999,8.675277,48.108082151029,74.8876415620891
"545","Nigeria","NGA",1.42235410484669,6.87438180019782,6.28140454995054,"2018",2125.83428239448,"124327229","177948049","189855325",198387623,"Sub-Saharan Africa",9.081999,8.675277,48.108082151029,74.8876415620891
"546","Nigeria","NGA",1.42235410484669,6.87438180019782,6.28140454995054,"1996",460.324190248145,"87484569","102554572","106739885",110956183,"Sub-Saharan Africa",9.081999,8.675277,48.108082151029,74.8876415620891
"547","Nigeria","NGA",1.42235410484669,6.87438180019782,6.28140454995054,"2010",2280.11197852503,"104631209","143941237","154087879",160952853,"Sub-Saharan Africa",9.081999,8.675277,48.108082151029,74.8876415620891
"548","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Asia and Pacific",40.339852,127.510093,27.0689691985354,12.9188623394277
"549","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2000",1861.89806549945,"409404","1102478","1565889",2026350,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"550","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2009",4584.7098319119,"381624","836491","1261734",2050671,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"551","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2011",5098.09758250193,"319868","765697","1156316",2058539,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"552","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2013",5241.05834548355,"248441","704314","1135408",2064032,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"553","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2008",4841.25169443101,"94190","450764","819731",2046898,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"554","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2003",2440.47694280043,"172068","638894","1062090",2026773,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"555","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"1998",1875.81776397421,"190038","808735","1444209",2007523,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"556","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2010",4577.68875507362,"368543","776787","1182675",2055004,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"557","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2004",2795.89926079271,"90734","440197","790294",2032544,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"558","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2018",6108.74010831698,"147720","431881","785961",2076217,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"559","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2014",5495.73504918897,"217273","616233","1055555",2067471,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"560","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2012",4728.30814189843,"291473","736343","1134460",2061044,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"561","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2015",4861.55397141497,"209338","595413","984763",2070226,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"562","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2006",3362.96841919784,"191133","623890","1037021",2040228,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"563","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2005",3072.67857251806,"158104","592129","998586",2036855,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"564","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2002",1989.13512536126,"151157","614112","1016941",2020157,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"565","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2016",5149.58907435906,"200371","517070","864452",2072490,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"566","North Macedonia","MKD",2.10611854684512,5.11281070745698,4.42734225621415,"2017",5450.4928808666,"190884","478442","822915",2074502,"Europe and Central Asia",NA,NA,7.21551143932103,2.75000363385979
"567","Northern Mariana Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Asia and Pacific",17.33083,145.38469,0.908853027863224,0.0199270307612974
"568","Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe and Central Asia",60.472024,8.468946,295.015214622914,59.9396434110281
"569","Oman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Middle East and North Africa",21.512583,55.923255,32.3352139020106,26.7609144790414
"570","Pakistan","PAK",1.81358847559665,6.72113523973339,5.95914857019996,"2005",688.500587937743,"104422062","148054945","155497769",174372098,"South Asia",30.375321,69.345116,71.729793755934,82.0625164161805
"571","Pakistan","PAK",1.81358847559665,6.72113523973339,5.95914857019996,"2007",837.631537927295,"101706521","153398644","162379269",181924521,"South Asia",30.375321,69.345116,71.729793755934,82.0625164161805
"572","Pakistan","PAK",1.81358847559665,6.72113523973339,5.95914857019996,"1996",461.399864998701,"89158656","120654027","124837890",137234810,"South Asia",30.375321,69.345116,71.729793755934,82.0625164161805
"573","Pakistan","PAK",1.81358847559665,6.72113523973339,5.95914857019996,"1990",346.668515520908,"96448801","105547126","106792705",115414069,"South Asia",30.375321,69.345116,71.729793755934,82.0625164161805
"574","Pakistan","PAK",1.81358847559665,6.72113523973339,5.95914857019996,"1998",427.506327495099,"96610671","125995492","131166024",145476106,"South Asia",30.375321,69.345116,71.729793755934,82.0625164161805
"575","Pakistan","PAK",1.81358847559665,6.72113523973339,5.95914857019996,"2010",911.090444804549,"94059172","162171574","173031271",194454498,"South Asia",30.375321,69.345116,71.729793755934,82.0625164161805
"576","Pakistan","PAK",1.81358847559665,6.72113523973339,5.95914857019996,"2004",631.471170778428,"101577060","144396132","152111150",170648620,"South Asia",30.375321,69.345116,71.729793755934,82.0625164161805
"577","Pakistan","PAK",1.81358847559665,6.72113523973339,5.95914857019996,"2013",1126.04126067776,"85253483","165521250","182676994",205337562,"South Asia",30.375321,69.345116,71.729793755934,82.0625164161805
"578","Pakistan","PAK",1.81358847559665,6.72113523973339,5.95914857019996,"2015",1282.44315294243,"79788617","167055333","186651483",210969298,"South Asia",30.375321,69.345116,71.729793755934,82.0625164161805
"579","Pakistan","PAK",1.81358847559665,6.72113523973339,5.95914857019996,"2018",1620.74285658945,"84546864","179400654","200475572",219731479,"South Asia",30.375321,69.345116,71.729793755934,82.0625164161805
"580","Pakistan","PAK",1.81358847559665,6.72113523973339,5.95914857019996,"2001",499.218306168163,"112938470","140112788","143904379",159217727,"South Asia",30.375321,69.345116,71.729793755934,82.0625164161805
"581","Pakistan","PAK",1.81358847559665,6.72113523973339,5.95914857019996,"2011",1075.45049647803,"94761266","163433372","175657042",198602738,"South Asia",30.375321,69.345116,71.729793755934,82.0625164161805
"582","Palau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Asia and Pacific",7.51498,134.58252,1.10532330163806,0.0311360277488608
"583","Palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Middle East and North Africa",NA,NA,NA,NA
"584","Panama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America and Caribbean",8.537981,-80.782127,25.300754981141,6.08830115140896
"585","Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Asia and Pacific",-6.314993,143.95555,89.2913764888192,37.7804207603652
"586","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America and Caribbean",-23.442503,-58.443832,30.8918839077742,35.2087385142825
"587","Peru","PER",1.92600786627335,7.05457227138643,5.80703048180924,"2007",3572.36358879114,"7505292","14262175","19129386",28600387,"Latin America and Caribbean",-9.189967,-75.015152,68.2853844078671,106.500857766754
